Name,price,link
"
                   A&K Bar Phone A 4 (Red) 
               ",Rs. 637,/a-k-bar-phone-4/p/itmeaurv4bhhfb3m?pid=MOBEYGNMPFMVDF99&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVqu0RgXh882uCdmFuz05YV1VsMO8oJCZd3Q%3D&ref=L%3A5037320620238455182&srno=b_62
"
                   Infix Nexam Ultra Dual Sim Multimedia With Auto Call Re...
               ",Rs. 639,/infix-nexam-ultra-dual-sim-multimedia-auto-call-record/p/itmecvhzvemknhkz?pid=MOBECVHZJPX7AXP9&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVqvBEA%2Bm9KRdzIsQQY%2Frt4wt950gs2SqjBQ%3D&ref=L%3A5037320620238455182&srno=b_63
"
                   Vell Com V1200 (Black) 
               ",Rs. 640,/vell-com-v1200/p/itmebx4vzjrv4tmw?pid=MOBEBX4VJZGGZM7E&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVquAFJ5j%2BT8brhn5a%2FH6w%2BL9rPZ7Fwkxd7Q%3D&ref=L%3A5037320620238455182&srno=b_64
"
                   A&K A 1100 (Yellow) 
               ",Rs. 640,/a-k-a-1100/p/itmefh68dgh2ruvc?pid=MOBEFH68HVHQE96Z&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVqsNSb0WTSzAQ5EPR4dOrD1Y7Lo50L0yhWk%3D&ref=L%3A5037320620238455182&srno=b_65
"
                   Maxfone 503 (Black) 
               ",Rs. 645,/maxfone-503/p/itmecq2bkjk3husa?pid=MOBECQ2BVJGZRYZM&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVqv9qv%2FPwOy%2B1ghPYESLyQkncJ1xgS9YfgI%3D&ref=L%3A5037320620238455182&srno=b_66
"
                   Vell Com V07 (BLACK) 
               ",Rs. 645,/vell-com-v07/p/itmec89mhku28qd3?pid=MOBEC89MFYAWJEST&al=9UVSf0Mge7SlvJhcSJp%2FlcldugMWZuE7Qdj0IGOOVqukFxAUyYRtq6KeeJnKZRGib8jM7lcm%2BAY%3D&ref=L%3A5037320620238455182&srno=b_67
"
                   Vell Com 105 (Blue) 
               ",Rs. 645,/vell-com-105/p/itmedh5yhbwvwmyb?pid=MOBEDH5YS66SJHYG&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqvIU9zjhzCbaru4%2Bxuv6OmUQw3GkPG52l0%3D&ref=L%3A5037320620238455182&srno=b_68
"
                   Vell Com 5008 (Black) 
               ",Rs. 645,/vell-com-5008/p/itmedexfa9hnzaxg?pid=MOBEDEXFHDFKNMEZ&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqsfraEseHbSMcICx5M%2BEQmyG5V80vpqE7I%3D&ref=L%3A5037320620238455182&srno=b_69
"
                   Nuvo One
               ",Rs. 645,/nuvo-one/p/itme7znhghgnhfnp?pid=MOBE7ZNHYGJNEJYQ&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqumyO11ScYVC7s4HINmFX%2FURLTWMFg7lDM%3D&ref=L%3A5037320620238455182&srno=b_70
"
                   A&K Bar Phone A 6 (Gold, Black) 
               ",Rs. 647,/a-k-bar-phone-6/p/itmeaurv9hrbgbpg?pid=MOBEYNCFRKKACGDF&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqu6KRqV0ZBtzm72W2WDU8jDOAnf4KF90GE%3D&ref=L%3A5037320620238455182&srno=b_71
"
                   A&K Bar Phone A 5 (Black) 
               ",Rs. 648,/a-k-bar-phone-5/p/itmeyncf5ynnb3wt?pid=MOBEYNCF5ZZKWEZS&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqtWk4z9yph7uYPMVRHiwaFj46Jv0zlJOFo%3D&ref=L%3A5037320620238455182&srno=b_72
"
                   Rocktel R5 (Black) 
               ",Rs. 649,/rocktel-r5/p/itmeb9h6jb8s9evg?pid=MOBEB9H6QPGZ44CT&al=9UVSf0Mge7Td8VJZq3ImCsldugMWZuE7Qdj0IGOOVqvdVs4rt57ZPvize1Iq5dxd2hn0Jh5rlhw%3D&ref=L%3A5037320620238455182&srno=b_73
